hs_class,text
positive,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego 
negative,siapa yang telat memberi tau kamu edan sarap gue bergaul dengan ciga ifla calis sama siapa itu licew juga 
negative,41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
negative,aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku 
positive,kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha 
positive,ya bani taplak dan kawan kawan 
negative,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
negative,gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya 2 karakter utama cowoknya kena friendzone bro uniform resource locator
negative,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kamu kamu doket mana itu gerai rozak me uaku taipan 2 depan kembar baby amp romantika bank islam senawang 
negative,enak lagi kalau sambil ngewe 
positive,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu 
positive,banci kaleng malu tidak bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe uniform resource locator
negative,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi 
positive,aktor huru hara 98 prabowo sih ingin lengserkan pemerintahan jokowi nyata
positive,bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru 
positive,lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar 
negative,belakangan ini kok pikiran ampas banget ya 
negative,ari sama beki adalah rapi monyet 
positive,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci 
negative,alga mnr bom 
negative,anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta 
negative,kalau kamu noob pasti peluang disakiti nya lebih gede sih 
negative,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
negative,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
negative,bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan 
negative,siapapun gubernur dan presidennya rakyatnya ya kita juga 
positive,ini sih kerjaannya delay mulu setan 
